rate_date,file_path,row_count,currencies
2026-05-14,fx_daily/2026/05/fx_20260514.csv,2,EUR|USD
2026-05-15,fx_daily/2026/05/fx_20260515.csv,2,EUR|USD
2026-05-18,fx_daily/2026/05/fx_20260518.csv,2,EUR|USD
2026-05-19,fx_daily/2026/05/fx_20260519.csv,2,EUR|USD
2026-05-20,fx_daily/2026/05/fx_20260520.csv,2,EUR|USD
2026-05-21,fx_daily/2026/05/fx_20260521.csv,2,EUR|USD
2026-05-22,fx_daily/2026/05/fx_20260522.csv,2,EUR|USD
2026-05-25,fx_daily/2026/05/fx_20260525.csv,2,EUR|USD
2026-05-26,fx_daily/2026/05/fx_20260526.csv,2,EUR|USD
2026-05-27,fx_daily/2026/05/fx_20260527.csv,2,EUR|USD
2026-05-28,fx_daily/2026/05/fx_20260528.csv,2,EUR|USD
2026-05-29,fx_daily/2026/05/fx_20260529.csv,2,EUR|USD
2026-06-02,fx_daily/2026/06/fx_20260602.csv,2,EUR|USD
2026-06-04,fx_daily/2026/06/fx_20260604.csv,2,EUR|USD
2026-06-05,fx_daily/2026/06/fx_20260605.csv,2,EUR|USD
2026-06-08,fx_daily/2026/06/fx_20260608.csv,2,EUR|USD
2026-06-09,fx_daily/2026/06/fx_20260609.csv,2,EUR|USD
2026-06-10,fx_daily/2026/06/fx_20260610.csv,2,EUR|USD
2026-06-11,fx_daily/2026/06/fx_20260611.csv,2,EUR|USD
2026-06-12,fx_daily/2026/06/fx_20260612.csv,2,EUR|USD
2026-06-15,fx_daily/2026/06/fx_20260615.csv,2,EUR|USD
2026-06-16,fx_daily/2026/06/fx_20260616.csv,2,EUR|USD
2026-06-17,fx_daily/2026/06/fx_20260617.csv,2,EUR|USD
2026-06-18,fx_daily/2026/06/fx_20260618.csv,2,EUR|USD
2026-06-19,fx_daily/2026/06/fx_20260619.csv,2,EUR|USD
2026-06-22,fx_daily/2026/06/fx_20260622.csv,2,EUR|USD
2026-06-23,fx_daily/2026/06/fx_20260623.csv,2,EUR|USD
2026-06-24,fx_daily/2026/06/fx_20260624.csv,2,EUR|USD
2026-06-25,fx_daily/2026/06/fx_20260625.csv,2,EUR|USD
2026-06-26,fx_daily/2026/06/fx_20260626.csv,2,EUR|USD
2026-06-29,fx_daily/2026/06/fx_20260629.csv,2,EUR|USD
2026-06-30,fx_daily/2026/06/fx_20260630.csv,2,EUR|USD
2026-07-01,fx_daily/2026/07/fx_20260701.csv,2,EUR|USD
2026-07-02,fx_daily/2026/07/fx_20260702.csv,2,EUR|USD
2026-07-03,fx_daily/2026/07/fx_20260703.csv,2,EUR|USD
2026-07-06,fx_daily/2026/07/fx_20260706.csv,2,EUR|USD
2026-07-07,fx_daily/2026/07/fx_20260707.csv,2,EUR|USD
2026-07-08,fx_daily/2026/07/fx_20260708.csv,2,EUR|USD
2026-07-09,fx_daily/2026/07/fx_20260709.csv,2,EUR|USD
2026-07-10,fx_daily/2026/07/fx_20260710.csv,2,EUR|USD
2026-07-13,fx_daily/2026/07/fx_20260713.csv,2,EUR|USD
2026-07-14,fx_daily/2026/07/fx_20260714.csv,2,EUR|USD
2026-07-15,fx_daily/2026/07/fx_20260715.csv,2,EUR|USD
2026-07-16,fx_daily/2026/07/fx_20260716.csv,2,EUR|USD
2026-07-17,fx_daily/2026/07/fx_20260717.csv,2,EUR|USD
2026-07-20,fx_daily/2026/07/fx_20260720.csv,2,EUR|USD
2026-07-21,fx_daily/2026/07/fx_20260721.csv,2,EUR|USD
